model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Fiesta,217,12000,Automatic,15944.0,Petrol,150.0,57.7,1.0
 Focus,2018,14000,Manual,9083.0,Petrol,150.0,57.7,1.0
 Focus,2017,13000,Manual,12456.0,Petrol,150.0,57.7,1.0
 Fiesta,2019,17500,Manual,10460.0,Petrol,145.0,40.3,1.5
 Fiesta,2019,16500,Automatic,1482.0,Petrol,145.0,48.7,1.0
 Fiesta,2015,10500,Manual,35432.0,Petrol,145.0,47.9,1.2
 Puma,2019,22500,Manual,2029.0,Petrol,145.0,50.4,1.0
 Fiesta,2017,9000,Manual,13054.0,Petrol,145.0,54.3,1.2
 Kuga,2019,25500,Automatic,6894.0,Diesel,145.0,42.2,2.0
 Focus,2018,10000,Manual,48141.0,Petrol,145.0,61.4,1.0
 Fiesta,2018,11561,Manual,18803.0,Petrol,145.0,56.5,1.0
 EcoSport,2018,13500,Manual,12065.0,Petrol,145.0,54.3,1.0
 Fiesta,2017,11000,Manual,20978.0,Petrol,113.42695564965456,65.7,1.0
 Kuga,2018,17999,Semi-Auto,9002.0,Diesel,113.42695564965456,54.3,1.2
 Kuga,2018,18999,Semi-Auto,8970.0,Diesel,145.0,58.9,1.5
 Kuga,2018,14399,Manual,12810.0,Diesel,145.0,64.2,1.5
 Kuga,2019,17999,Manual,10428.0,Diesel,113.42695564965456,38.2,2.0
 Kuga,2018,16899,Manual,14680.0,Diesel,145.0,54.3,2.0
 Fiesta,2017,10999,Manual,12427.0,Petrol,20.0,62.8,1.0
 Fiesta,2019,12500,Manual,25521.0,Petrol,145.0,55.4,1.0
 Fiesta,2018,9499,Manual,20400.0,Petrol,145.0,55.4,1.1
 Fiesta,2017,10500,Manual,24926.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,8995,Manual,26163.0,Petrol,145.0,65.7,1.0
 Kuga,2014,8995,Manual,59000.0,Diesel,160.0,47.9,2.0
 Fiesta,2014,6795,Manual,35299.0,Petrol,113.42695564965456,65.7,1.0
 Focus,2017,18499,Manual,13063.0,Petrol,145.0,41.5,2.0
 C-MAX,2018,11799,Manual,23800.0,Diesel,145.0,68.9,1.5
 Fiesta,2015,8299,Manual,25935.0,Petrol,113.42695564965456,65.7,1.2
 Fiesta,2018,12499,Manual,8700.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,8699,Manual,25000.0,Petrol,125.0,54.3,1.2
 Fiesta,2016,7999,Manual,60730.0,Diesel,113.42695564965456,78.5,1.5
 Fiesta,2017,8991,Manual,18561.0,Petrol,145.0,54.3,1.2
 Focus,2019,18990,Manual,8400.0,Petrol,145.0,60.1,1.0
 Fiesta,2013,7236,Manual,39090.0,Petrol,113.42695564965456,65.7,1.0
 Kuga,2018,15287,Semi-Auto,33149.0,Diesel,145.0,58.9,1.5
 Mondeo,2019,20000,Manual,24.0,Diesel,145.0,65.7,2.0
 EcoSport,2020,20000,Manual,558.0,Petrol,145.0,53.3,1.0
 Kuga,2019,21378,Manual,3259.0,Diesel,145.0,39.2,2.0
 Fiesta,2018,9814,Manual,15100.0,Petrol,145.0,65.7,1.0
 Ka+,2018,8261,Manual,25000.0,Petrol,145.0,57.7,1.2
 Fiesta,2017,8788,Manual,15612.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,12251,Manual,8920.0,Petrol,145.0,58.9,1.0
 Kuga,2017,16320,Manual,24803.0,Diesel,145.0,60.1,2.0
 Fiesta,2019,13140,Manual,7.0,Petrol,145.0,48.7,1.1
 Fiesta,2018,10491,Semi-Auto,43019.0,Petrol,145.0,48.7,1.0
 Kuga,2016,13870,Semi-Auto,41607.0,Diesel,145.0,54.3,2.0
 Focus,2017,14960,Manual,23554.0,Petrol,145.0,41.5,2.0
 Fiesta,2019,13540,Manual,6923.0,Petrol,145.0,58.9,1.0
 Focus,2019,17970,Manual,10985.0,Diesel,145.0,74.3,1.5
 C-MAX,2017,9330,Manual,29617.0,Diesel,20.0,68.9,1.5
 Fiesta,2016,6000,Manual,47613.0,Petrol,113.42695564965456,65.7,1.0
 Ka+,2019,8995,Manual,5122.0,Petrol,145.0,43.5,1.2
 Ka+,2019,8495,Manual,32.0,Petrol,145.0,48.7,1.2
 Fiesta,2016,6395,Manual,31562.0,Petrol,125.0,54.3,1.2
 Focus,2019,14495,Manual,8131.0,Petrol,145.0,58.9,1.0
 Tourneo Custom,2018,19995,Automatic,24568.0,Diesel,145.0,31.7,2.0
 S-MAX,2017,18495,Automatic,39605.0,Diesel,145.0,54.3,2.0
 Focus,2019,17995,Manual,11496.0,Diesel,145.0,57.6,2.0
 Fiesta,2013,5495,Manual,51271.0,Petrol,30.0,54.3,1.2
 Kuga,2018,16995,Automatic,7189.0,Diesel,145.0,58.9,1.5
 Kuga,2018,16495,Manual,29428.0,Diesel,145.0,54.3,1.2
 Kuga,2018,17998,Manual,12162.0,Petrol,145.0,39.2,1.5
 B-MAX,2014,7498,Semi-Auto,33023.0,Petrol,160.0,44.1,1.6
 Focus,2019,17498,Manual,2714.0,Petrol,150.0,49.6,1.0
 S-MAX,2017,17498,Manual,17051.0,Diesel,150.0,56.5,2.0
 Fiesta,2013,5998,Manual,44304.0,Diesel,113.42695564965456,76.4,1.5
 Kuga,2019,17698,Manual,4844.0,Petrol,145.0,34.4,1.5
 Kuga,2016,11000,Manual,31810.0,Diesel,125.0,60.1,2.0
 EcoSport,2017,8700,Manual,43081.0,Petrol,145.0,44.8,1.5
 Kuga,2017,15300,Manual,47159.0,Diesel,145.0,54.3,2.0
 Fiesta,2013,7490,Manual,25000.0,Petrol,113.42695564965456,65.7,1.0
 Focus,2017,10760,Manual,29891.0,Petrol,145.0,60.1,1.0
 Kuga,2019,18760,Manual,10237.0,Petrol,145.0,39.2,1.5
 Fiesta,2014,6360,Manual,48653.0,Petrol,113.42695564965456,65.7,1.0
 Fiesta,2014,6270,Manual,60888.0,Petrol,113.42695564965456,65.7,1.0
 Kuga,2017,17920,Automatic,15815.0,Petrol,235.0,38.2,1.5
 Fiesta,2013,4790,Manual,74128.0,Petrol,113.42695564965456,65.7,1.0
 Focus,2015,7830,Manual,50124.0,Diesel,113.42695564965456,74.3,1.5
 Fiesta,2015,6990,Manual,29851.0,Diesel,113.42695564965456,76.4,1.5
 Edge,2016,18640,Manual,24105.0,Diesel,160.0,48.7,2.0
 Fiesta,2015,6700,Manual,28935.0,Petrol,30.0,54.3,1.2
 Fiesta,2018,9498,Manual,30925.0,Petrol,145.0,65.7,1.0
 Focus,2018,13698,Manual,13418.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,13298,Manual,13756.0,Petrol,145.0,58.9,1.0
 Kuga,2015,14398,Manual,25175.0,Diesel,145.0,54.3,2.0
 Fiesta,2017,8998,Manual,21267.0,Petrol,145.0,64.2,1.1
 Fiesta,2019,12698,Manual,12130.0,Petrol,145.0,56.5,1.0
 Fiesta,2019,11998,Manual,17354.0,Petrol,145.0,56.5,1.0
 Fiesta,2019,13498,Manual,15822.0,Petrol,145.0,58.9,1.0
 Fiesta,2019,13498,Manual,10557.0,Petrol,145.0,58.9,1.0
 Focus,2016,9698,Manual,20786.0,Petrol,20.0,61.4,1.0
 Focus,2016,24995,Manual,7997.0,Petrol,235.0,36.7,2.3
 Fiesta,2017,9895,Manual,19079.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,12995,Manual,14979.0,Petrol,145.0,58.9,1.0
 Tourneo Connect,2015,9295,Manual,47904.0,Diesel,125.0,56.5,1.6
 Fiesta,2016,8495,Manual,24410.0,Petrol,125.0,54.3,1.2
 Fiesta,2019,13895,Manual,13600.0,Petrol,145.0,58.9,1.0
 Focus,2018,18298,Manual,21456.0,Diesel,145.0,67.3,2.0
 Focus,2015,9198,Manual,31512.0,Diesel,113.42695564965456,74.3,1.5
 Fiesta,2016,10798,Manual,11843.0,Petrol,113.42695564965456,65.7,1.0
 Fiesta,2016,8998,Manual,31373.0,Petrol,113.42695564965456,65.7,1.0
 Kuga,2018,18498,Manual,7796.0,Diesel,145.0,54.3,1.5
 Kuga,2017,13498,Manual,26597.0,Diesel,145.0,54.3,2.0
